gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000281392.1,LINC00506,1.6795741864783473,9.686515777128578,0.09304019357682593,0.0300651380459232,2,2,,
ENSG00000178718.6,RPP25,1.679,61.04716381293447,0.09315204375940876,0.0007564328980618001,1,1,,
ENSG00000261455.1,LINC01003,-1.678,-4.30919021842872,0.09334709901434277,0.1516326001801343,1,3,,
ENSG00000136866.13,ZFP37,-1.678,-52.94800792125239,0.09334709901434277,0.0010043490258432133,1,1,,
ENSG00000140612.13,SEC11A,1.6770556054311367,170.9910304685518,0.0935316088929506,9.619406240988242e-05,2,2,,
ENSG00000254260.1,RP11-369E15.1,-1.677,-269.24090137427163,0.09354248184672774,3.8795741198477794e-05,1,1,,
ENSG00000169231.13,THBS3,1.677,6.618472057308709,0.09354248184672774,0.0642023087670368,1,1,,
ENSG00000173171.14,MTX1,1.677,31.90364785325458,0.09354248184672774,0.0027630289748591516,1,1,,
ENSG00000076662.9,ICAM3,1.677,39.92772404562338,0.09354248184672774,0.001764074875261134,1,1,,
ENSG00000271643.1,RP11-10C24.3,1.6768208256597152,3.873494232332368,0.0935775240689403,0.1873990957811937,2,3,,
ENSG00000034693.14,PEX3,-1.676,-15.380670309427817,0.09373819261098938,0.011874012522592391,1,1,,
ENSG00000158006.13,PAFAH2,1.674,13.40383156424235,0.09413059935253563,0.01559742779442427,1,1,,
ENSG00000183808.11,RBM12B,1.674,30.156179506084037,0.09413059935253563,0.003081472297031711,1,1,,
ENSG00000181195.10,PENK,1.6740000000000002,2.042918156901545,0.09413059935253563,0.6714427218779584,1,1,,
ENSG00000134146.11,DPH6,-1.674,-147.91306648692992,0.09413059935253563,0.0001280848681887063,1,2,,
ENSG00000115604.10,IL18R1,1.6731481779260196,1.9632408137212787,0.09429812915453804,0.7263093944792393,2,2,,
ENSG00000117139.16,KDM5B,1.673,6.55584127293229,0.09432729603835886,0.06512309340660853,1,2,,
ENSG00000110536.13,PTPMT1,1.6729165875683345,8.270489925589377,0.09434371786397809,0.04091533400515451,2,2,,
ENSG00000011021.21,CLCN6,1.6720306667461393,8.638760449706957,0.09451827502712487,0.03746153894671288,2,2,,
ENSG00000178403.3,NEUROG2,-1.672,-248.4094105803503,0.0945243220731336,4.530399049641444e-05,1,1,,
ENSG00000006530.15,AGK,-1.671170109443207,-21.66358177050896,0.09468808244858926,0.005950874522191648,2,2,,
ENSG00000234292.3,RP11-213H15.1,-1.671,-18.125145147836992,0.09472167781096598,0.008499432193312688,1,1,,
ENSG00000132467.3,UTP3,1.671,340.7014716445479,0.09472167781096598,2.4054973389835332e-05,1,2,,
ENSG00000075884.13,ARHGAP15,-1.671,-215.47082270118273,0.09472167781096598,6.014173601858804e-05,1,1,,
