gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000182952.4,HMGN4,0.1788898955016008,8.50650952114872,0.8580241570265646,0.0004422510125019652,1,1,,
ENSG00000197279.3,ZNF165,0.1788741644098476,3.5964100117042115,0.858036509401876,0.0024737558831109817,1,1,,
ENSG00000174775.16,HRAS,0.17886977988957145,0.4362425054412277,0.8580399522231563,0.16811946033613262,2,2,,
ENSG00000183654.8,MARCH11,-0.1787054912222728,-28.67919144791452,0.8581689572258209,3.882772893079465e-05,1,1,,
ENSG00000273230.1,RP11-1246C19.1,-0.1786104355239504,-0.3528223575494672,0.8582435998960727,0.2562721802799111,3,3,,
ENSG00000196967.10,ZNF585A,0.1784376337780891,2.0302557602545446,0.8583792960454388,0.007724518334938558,1,2,,
ENSG00000140905.10,GCSH,-0.1783485856133675,-0.4748372688107553,0.8584492245947226,0.1410748971786069,1,1,,
ENSG00000177757.2,FAM87B,-0.178153228124593,-0.6781790670408452,0.8586026405828906,0.06900787136072208,1,2,,
ENSG00000179859.9,AC025335.1,-0.1781499775094029,-0.3313376545439786,0.8586051933653333,0.2890879280141474,1,2,,
ENSG00000065989.15,PDE4A,0.1778149953121918,4.48633406146588,0.8588682704660549,0.0015709181140763629,1,1,,
ENSG00000035862.12,TIMP2,-0.177781598834244,-5.6154547647657,0.8588944991330794,0.0010023138902172618,1,1,,
ENSG00000133895.14,MEN1,0.1776767529919184,1.074345888723627,0.8589768431599002,0.027350984631148108,2,2,,
ENSG00000163818.16,LZTFL1,0.1776357070774526,35.262478762805905,0.8590090802960436,2.5376683482300666e-05,1,2,,
ENSG00000149089.12,APIP,-0.17744982830849612,-0.14211610584878692,0.8591550709506609,1.5590662469747425,2,3,,
ENSG00000203485.12,INF2,-0.17723402497474694,-1.7206219671298935,0.8593245706354278,0.010610192768636473,1,1,,
ENSG00000135372.8,NAT10,-0.1771268509750429,-0.589337105645318,0.8594087513517095,0.0903319179939403,1,1,,
ENSG00000250510.7,GPR162,0.17662960261060867,13.40334750947607,0.859799340139261,0.00017366025253974957,1,2,,
ENSG00000170681.6,MURC,0.17646297536106612,0.924658011144475,0.8599302335887018,0.03642041766082597,2,2,,
